email,course_id,sec_no,exam_no,grades
vs8351@nittany.edu,IST110,2,1,90
mm1324@nittany.edu,STAT319,1,1,91
tg2289@nittany.edu,CMPEN441,1,1,98
mk4648@nittany.edu,CSE543,1,1,70
sa8884@nittany.edu,CSE543,1,1,97
kn1468@nittany.edu,ECON201,2,1,92
jk5833@nittany.edu,CMPEN362,2,1,61
md1699@nittany.edu,CMPSC448,1,1,95
mc4814@nittany.edu,IST110,2,1,69
ll2646@nittany.edu,CMPSC132,1,1,98
mr3369@nittany.edu,ECON201,2,1,87
tb7100@nittany.edu,EE311,2,1,65
wm3293@nittany.edu,MATH231,2,1,95
ko8881@nittany.edu,CHEM110,1,1,88
zj6533@nittany.edu,EE311,2,1,74
mb4756@nittany.edu,PHYS211,1,1,85
mr3556@nittany.edu,EE320,2,1,94
md3813@nittany.edu,EE311,1,1,87
km6173@nittany.edu,DS120,2,1,75
sg3060@nittany.edu,CMPEN270,1,1,61
ms7605@nittany.edu,MATH140,2,1,68
tm4946@nittany.edu,STAT318,2,1,82
jg1721@nittany.edu,CMPEN411,2,1,64
yc2897@nittany.edu,CMPEN270,1,1,83
ss9714@nittany.edu,CSE583,1,1,70
rb9779@nittany.edu,PHYS214,2,1,86
zr6768@nittany.edu,CHEM110,2,1,97
rc6428@nittany.edu,EE212,2,1,81
jt5287@nittany.edu,CMPSC221,2,1,69
lo7605@nittany.edu,CMPEN270,2,1,69
lr3728@nittany.edu,CMPSC475,2,1,65
xg4863@nittany.edu,PHYS212,2,1,85
me5010@nittany.edu,CSE583,2,1,95
lr5472@nittany.edu,EE211,1,1,61
sh4974@nittany.edu,CMPEN351,1,1,89
la9924@nittany.edu,EE320,2,1,96
ms2737@nittany.edu,DS120,2,1,61
tb8127@nittany.edu,CMPSC461,1,1,88
mm2976@nittany.edu,STAT415,1,1,85
th3170@nittany.edu,EE212,1,1,73
kk3742@nittany.edu,MATH141,2,1,95
nd2615@nittany.edu,EE211,1,1,92
sb6428@nittany.edu,EE353,2,1,78
rr9237@nittany.edu,CMPEN431,2,1,97
mm1660@nittany.edu,CMPSC131,1,1,98
mr1462@nittany.edu,PHYS213,1,1,96
lg1828@nittany.edu,CHEM110,2,1,98
jo7172@nittany.edu,CMPEN331,2,1,72
ma5045@nittany.edu,CMPSC221,2,1,63
rs3973@nittany.edu,IST110,1,1,71
mv4275@nittany.edu,CMPSC132,1,1,97
vw5806@nittany.edu,IST110,1,1,67
nr4230@nittany.edu,ECON101,2,1,76
ma3543@nittany.edu,CMPEN441,2,1,70
mc9149@nittany.edu,EE211,2,1,69
lg2530@nittany.edu,CSE543,2,1,94
sh4671@nittany.edu,CMPEN351,1,1,62
mt7030@nittany.edu,EE311,2,1,77
lt3713@nittany.edu,CSE583,1,1,60
jw3861@nittany.edu,CMPSC465,1,1,65
kr4923@nittany.edu,EE211,2,1,74
nf6339@nittany.edu,STAT319,2,1,74
md6319@nittany.edu,IST110,2,1,82
mb1688@nittany.edu,EE353,2,1,85
mk5190@nittany.edu,CMPEN411,2,1,99
mk3204@nittany.edu,STAT319,1,1,94
oc3904@nittany.edu,EE330,1,1,85
km6627@nittany.edu,CMPSC461,1,1,83
js6308@nittany.edu,CMPSC221,2,1,91
jw4897@nittany.edu,EE311,1,1,69
vl7715@nittany.edu,CMPSC311,2,1,96
ph3861@nittany.edu,STAT318,1,1,89
jh3919@nittany.edu,PHYS214,1,1,66
mw5114@nittany.edu,EE330,2,1,72
ld6778@nittany.edu,EE330,1,1,60
mc1411@nittany.edu,CSE583,2,1,62
lg7099@nittany.edu,CSE583,1,1,98
mm9659@nittany.edu,CMPSC475,1,1,91
rc5324@nittany.edu,CSE543,1,1,90
mz7312@nittany.edu,CMPSC311,1,1,71
ml5786@nittany.edu,CMPSC461,1,1,63
nh2508@nittany.edu,CMPEN362,2,1,78
ms2255@nittany.edu,MATH141,2,1,100
mp4954@nittany.edu,CMPSC431W,1,1,63
lj7790@nittany.edu,MATH140,2,1,97
sr7729@nittany.edu,CHEM111,1,1,99
mt8800@nittany.edu,MATH231,1,1,88
sv5358@nittany.edu,CMPSC132,2,1,77
rh4718@nittany.edu,CMPEN441,2,1,95
vt8578@nittany.edu,EE212,2,1,81
lu6872@nittany.edu,STAT319,1,1,72
lb6520@nittany.edu,EE330,1,1,69
kb6941@nittany.edu,CMPEN331,1,1,81
rv5469@nittany.edu,CMPSC221,1,1,82
ml7975@nittany.edu,CSE543,1,1,86
mj4880@nittany.edu,STAT319,2,1,66
lt8366@nittany.edu,CMPSC311,2,1,75
js7099@nittany.edu,CMPSC132,2,1,89
rf2661@nittany.edu,CMPSC221,2,1,78
js8165@nittany.edu,EE352,1,1,88
kk3115@nittany.edu,CHEM110,1,1,88
mr4635@nittany.edu,EE330,1,1,61
ve8889@nittany.edu,EE330,1,1,94
ld8065@nittany.edu,CMPEN270,1,1,99
jk4403@nittany.edu,DS220,2,1,92
in2805@nittany.edu,EE212,2,1,69
pb8346@nittany.edu,CMPEN362,2,1,71
rf1782@nittany.edu,PHYS213,2,1,93
mn6721@nittany.edu,EE211,2,1,60
sm6043@nittany.edu,CMPEN351,1,1,69
lj2224@nittany.edu,DS220,2,1,91
wr3515@nittany.edu,CMPSC221,1,1,71
wl5243@nittany.edu,EE212,1,1,86
jr8665@nittany.edu,CMPSC131,2,1,75
ns1210@nittany.edu,CMPEN441,2,1,67
ms6173@nittany.edu,MATH141,2,1,87
na8379@nittany.edu,EE212,2,1,99
ls6337@nittany.edu,CMPSC132,2,1,99
sm9645@nittany.edu,CMPSC465,1,1,94
rr8243@nittany.edu,CSE583,1,1,68
lw4369@nittany.edu,STAT318,2,1,74
il3541@nittany.edu,PHYS211,1,1,93
mg8505@nittany.edu,CHEM112,2,1,97
mo1186@nittany.edu,ECON101,2,1,85
pw1726@nittany.edu,CMPSC465,2,1,90
lm6031@nittany.edu,CMPEN351,2,1,71
pc8832@nittany.edu,PHYS213,2,1,97
mf8214@nittany.edu,CMPEN351,1,1,73
jb5052@nittany.edu,MATH230,2,1,94
ma8938@nittany.edu,CSE543,2,1,63
lf4727@nittany.edu,CHEM112,2,1,91
jh1874@nittany.edu,EE210,2,1,77
rb6281@nittany.edu,EE210,1,1,89
mr5864@nittany.edu,CMPSC465,1,1,75
ml6213@nittany.edu,CMPSC431W,2,1,74
mk7773@nittany.edu,EE330,1,1,88
nc8172@nittany.edu,CMPSC131,1,1,85
mj5914@nittany.edu,PHYS212,2,1,95
me2148@nittany.edu,ECON102,2,1,94
mk8847@nittany.edu,MATH140,2,1,88
my3786@nittany.edu,CMPSC311,1,1,83
jm3669@nittany.edu,ECON201,2,1,66
uf7067@nittany.edu,EE210,1,1,85
mr2575@nittany.edu,ECON102,2,1,82
mb3709@nittany.edu,IST128,1,1,73
jk4409@nittany.edu,EE353,1,1,91
ys9174@nittany.edu,CMPEN431,2,1,82
rf1538@nittany.edu,ECON201,2,1,95
no6118@nittany.edu,CHEM110,2,1,75
lc4994@nittany.edu,EE320,2,1,65
oh8195@nittany.edu,CMPEN351,1,1,98
jc2471@nittany.edu,CMPSC221,2,1,74
mm3162@nittany.edu,CMPSC448,2,1,91
jh7997@nittany.edu,CHEM111,2,1,97
ik6824@nittany.edu,CSE583,2,1,72
tk5748@nittany.edu,EE210,1,1,95
ts1830@nittany.edu,CMPSC360,2,1,74
kr6619@nittany.edu,STAT318,2,1,66
rk2653@nittany.edu,CMPEN411,2,1,88
sg4622@nittany.edu,ECON101,1,1,100
jl3236@nittany.edu,ECON101,2,1,83
kh1826@nittany.edu,PHYS214,1,1,75
me2596@nittany.edu,MATH231,1,1,95
sw7724@nittany.edu,MATH231,2,1,64
kh5883@nittany.edu,CSE543,2,1,67
mn2842@nittany.edu,CMPEN331,1,1,77
mt7911@nittany.edu,CMPSC465,1,1,82
pf6936@nittany.edu,IST128,2,1,65
mc8336@nittany.edu,CMPEN441,2,1,100
mv1311@nittany.edu,CHEM112,1,1,97
mt3151@nittany.edu,CHEM111,2,1,61
lb8326@nittany.edu,CMPEN441,1,1,66
lh1031@nittany.edu,CMPSC132,1,1,89
mn1239@nittany.edu,PHYS211,2,1,75
ka1472@nittany.edu,CMPSC475,2,1,81
tt1799@nittany.edu,CMPSC131,2,1,67
mr5565@nittany.edu,EE311,2,1,83
ma6036@nittany.edu,DS120,1,1,65
mr9406@nittany.edu,CMPEN411,2,1,95
os4077@nittany.edu,CMPSC131,2,1,93
mi6642@nittany.edu,PHYS213,2,1,66
mj1523@nittany.edu,CMPEN351,2,1,71
pw7815@nittany.edu,CMPSC475,2,1,94
jo5683@nittany.edu,STAT319,1,1,74
ns2358@nittany.edu,CMPSC465,1,1,95
vr4622@nittany.edu,MATH231,1,1,94
mk1572@nittany.edu,ECON102,1,1,81
mj1117@nittany.edu,ECON101,1,1,91
kp5214@nittany.edu,STAT415,2,1,66
me4221@nittany.edu,MATH231,2,1,96
lh8743@nittany.edu,EE211,2,1,93
ka6770@nittany.edu,EE352,2,1,71
wa5135@nittany.edu,CHEM112,2,1,69
la7071@nittany.edu,DS220,2,1,74
kl9753@nittany.edu,CHEM110,2,1,80
jh3336@nittany.edu,CMPEN362,1,1,89
sb1972@nittany.edu,IST110,2,1,65
kb3574@nittany.edu,MATH230,1,1,64
lv3076@nittany.edu,PHYS211,2,1,66
mt4811@nittany.edu,CMPEN431,2,1,60
zp7831@nittany.edu,STAT318,1,1,74
mr1020@nittany.edu,CMPSC465,2,1,92
ws6593@nittany.edu,CMPSC465,2,1,63
lw8769@nittany.edu,PHYS211,2,1,79
ms6765@nittany.edu,CHEM112,1,1,61
jc4011@nittany.edu,ECON101,1,1,87
mj5224@nittany.edu,STAT415,1,1,86
jz6925@nittany.edu,CMPEN411,2,1,65
vo6259@nittany.edu,CSE543,2,1,70
ks3998@nittany.edu,CMPEN362,1,1,62
ws8716@nittany.edu,MATH231,1,1,76
md7627@nittany.edu,DS220,1,1,80
th2610@nittany.edu,CSE583,2,1,92
mh8661@nittany.edu,ECON102,1,1,77
mh3437@nittany.edu,EE311,1,1,60
ww9231@nittany.edu,PHYS211,2,1,94
mk1676@nittany.edu,EE311,1,1,81
ub9586@nittany.edu,MATH141,2,1,66
lh6961@nittany.edu,STAT415,2,1,74
kf5693@nittany.edu,IST128,1,1,88
sb2082@nittany.edu,CHEM112,1,1,80
mn2870@nittany.edu,IST110,2,1,87
tk1529@nittany.edu,EE211,1,1,60
ib2806@nittany.edu,EE320,1,1,85
os7226@nittany.edu,PHYS214,2,1,69
ne9599@nittany.edu,CHEM112,1,1,80
vg5084@nittany.edu,CMPEN331,2,1,88
mr5670@nittany.edu,CMPSC431W,1,1,64
km6416@nittany.edu,ECON101,2,1,97
sj7472@nittany.edu,EE211,1,1,83
wr1679@nittany.edu,EE320,2,1,76
mr8602@nittany.edu,CMPEN351,2,1,81
mg1007@nittany.edu,EE320,1,1,60
lh3004@nittany.edu,STAT415,2,1,97
jg5906@nittany.edu,MATH141,1,1,75
ok5696@nittany.edu,MATH141,2,1,83
mw5391@nittany.edu,CMPSC132,1,1,78
sm5970@nittany.edu,CMPSC131,1,1,61
mn6897@nittany.edu,CMPEN431,1,1,60
rm8553@nittany.edu,CMPSC311,2,1,92
jl5459@nittany.edu,CMPEN362,2,1,76
ml1743@nittany.edu,PHYS213,1,1,79
ph1773@nittany.edu,STAT318,2,1,71
ma8953@nittany.edu,ECON201,1,1,92
pp2997@nittany.edu,CMPSC221,1,1,76
vk7408@nittany.edu,PHYS212,1,1,90
ro9937@nittany.edu,ECON102,1,1,96
tf2405@nittany.edu,CMPSC431W,1,1,92
pm3642@nittany.edu,CMPSC465,2,1,72
kr9949@nittany.edu,MATH231,2,1,80
mt2086@nittany.edu,CMPEN362,1,1,95
tw6502@nittany.edu,PHYS211,2,1,63
ol7450@nittany.edu,CMPEN270,2,1,73
jw6319@nittany.edu,CMPSC431W,1,1,74
ok8829@nittany.edu,EE210,2,1,81
ps1087@nittany.edu,EE210,1,1,77
sm5549@nittany.edu,STAT415,2,1,76
td2477@nittany.edu,EE210,2,1,97
sm8842@nittany.edu,CMPSC360,2,1,71
jp5962@nittany.edu,ECON102,2,1,69
mg1791@nittany.edu,EE311,2,1,68
sg1979@nittany.edu,ECON102,2,1,65
lo3428@nittany.edu,IST128,2,1,63
js3927@nittany.edu,CSE543,2,1,74
me9897@nittany.edu,CMPSC221,2,1,96
mb5390@nittany.edu,CMPSC431W,2,1,100
sg4417@nittany.edu,MATH141,1,1,63
lt7103@nittany.edu,CSE583,1,1,100
wc1418@nittany.edu,PHYS211,1,1,76
mm2047@nittany.edu,CMPEN270,1,1,64
ma4242@nittany.edu,EE353,2,1,90
jn3590@nittany.edu,MATH141,1,1,94
mh4972@nittany.edu,CMPSC475,1,1,99
jh3004@nittany.edu,CHEM112,1,1,66
sp7638@nittany.edu,CMPSC465,2,1,82
vn4576@nittany.edu,CMPEN441,2,1,84
mj2446@nittany.edu,CHEM111,2,1,83
mh9005@nittany.edu,CSE543,2,1,79
mp5777@nittany.edu,EE210,1,1,95
mj1886@nittany.edu,MATH141,2,1,75
mp5980@nittany.edu,PHYS211,2,1,88
mr7087@nittany.edu,CHEM110,2,1,88
kk1267@nittany.edu,EE320,1,1,83
mm8916@nittany.edu,EE212,1,1,70
jr1301@nittany.edu,CHEM111,1,1,71
rq8420@nittany.edu,CMPEN362,1,1,65
tf8025@nittany.edu,CMPSC221,1,1,62
jd3188@nittany.edu,PHYS214,2,1,96
js4888@nittany.edu,STAT415,2,1,91
mt1283@nittany.edu,STAT415,2,1,81
tb4699@nittany.edu,EE353,1,1,88
mj8109@nittany.edu,EE352,1,1,63
sl8096@nittany.edu,CHEM110,2,1,81
wg1476@nittany.edu,IST128,2,1,72
lb1184@nittany.edu,STAT319,1,1,81
kw1043@nittany.edu,CMPEN411,2,1,69
ld4137@nittany.edu,CMPSC431W,2,1,87
nb2686@nittany.edu,CMPEN411,1,1,94
rk8121@nittany.edu,EE320,2,1,100
vp6083@nittany.edu,DS120,1,1,90
mb7672@nittany.edu,MATH140,2,1,68
rh9618@nittany.edu,EE352,1,1,72
lw7685@nittany.edu,MATH230,2,1,61
me6698@nittany.edu,STAT415,2,1,71
mp7693@nittany.edu,CMPSC465,1,1,92
us6442@nittany.edu,CMPSC475,2,1,89
ma9983@nittany.edu,MATH140,2,1,84
mk7105@nittany.edu,CMPSC132,1,1,70
ma3822@nittany.edu,MATH141,2,1,61
vy1999@nittany.edu,STAT319,2,1,92
lw8160@nittany.edu,EE311,2,1,91
nb4212@nittany.edu,STAT319,2,1,87
mk2377@nittany.edu,CMPSC448,1,1,77
rw1366@nittany.edu,ECON102,2,1,93
mr5319@nittany.edu,CMPEN441,1,1,79
kz9097@nittany.edu,IST110,2,1,81
ml7288@nittany.edu,IST128,1,1,94
jd5932@nittany.edu,CMPSC311,1,1,72
lk1182@nittany.edu,EE210,1,1,82
jk1331@nittany.edu,EE353,1,1,89
jw9436@nittany.edu,STAT415,2,1,71
jk5021@nittany.edu,CMPSC465,1,1,93
mn1003@nittany.edu,EE311,2,1,89
ph8799@nittany.edu,EE311,1,1,63
jl8774@nittany.edu,CMPEN351,1,1,66
mj7408@nittany.edu,CMPEN351,2,1,83
ns6501@nittany.edu,CSE543,1,1,60
lr5589@nittany.edu,EE311,2,1,89
me5409@nittany.edu,CMPSC431W,1,1,94
mc9096@nittany.edu,CHEM110,2,1,88
jk4116@nittany.edu,CHEM110,1,1,75
kq6968@nittany.edu,MATH231,1,1,86
tp4444@nittany.edu,CMPSC221,1,1,78
me6706@nittany.edu,CMPEN270,1,1,63
kb8171@nittany.edu,IST110,2,1,71
sr6321@nittany.edu,EE210,1,1,93
jh1737@nittany.edu,STAT319,2,1,87
sp1616@nittany.edu,CSE583,2,1,89
pm4249@nittany.edu,MATH140,1,1,100
tl1139@nittany.edu,DS220,2,1,84
im1645@nittany.edu,CMPSC475,2,1,72
sd6073@nittany.edu,CMPEN351,2,1,71
po7371@nittany.edu,CMPSC448,1,1,100
wo4044@nittany.edu,CMPSC465,1,1,84
mc4662@nittany.edu,ECON201,1,1,63
mm9624@nittany.edu,CHEM110,2,1,61
nb6183@nittany.edu,CMPSC475,1,1,72
mm4674@nittany.edu,EE353,1,1,70
vh5298@nittany.edu,EE210,2,1,90
al4613@nittany.edu,CMPSC465,2,1,69
am4447@nittany.edu,CMPEN331,2,1,72
ak9804@nittany.edu,EE210,1,1,95
as1233@nittany.edu,EE330,2,1,99
al5684@nittany.edu,CHEM112,2,1,82
al6759@nittany.edu,CMPSC431W,2,1,83
ah2567@nittany.edu,CMPSC311,2,1,74
ab8825@nittany.edu,CMPEN362,2,1,80
ak1365@nittany.edu,CHEM111,2,1,97
at2037@nittany.edu,EE311,2,1,95
as3627@nittany.edu,CHEM111,1,1,94
ab8389@nittany.edu,CMPEN331,1,1,98
at1813@nittany.edu,DS120,1,1,72
ao8250@nittany.edu,CMPSC475,2,1,65
al8826@nittany.edu,STAT319,1,1,96
ab4479@nittany.edu,CSE543,1,1,65
aj1457@nittany.edu,EE330,1,1,73
ar7586@nittany.edu,CSE583,2,1,66
am6718@nittany.edu,PHYS211,1,1,88
az6923@nittany.edu,CMPEN431,1,1,88
ab9912@nittany.edu,CMPEN331,1,1,100
ap8429@nittany.edu,MATH141,2,1,78
ag4728@nittany.edu,EE210,2,1,62
ab3717@nittany.edu,DS220,1,1,90
ah5707@nittany.edu,CMPSC465,2,1,74
ad9791@nittany.edu,CMPSC475,2,1,100
lj2993@nittany.edu,PHYS211,1,1,93
rb1832@nittany.edu,EE210,1,1,98
ld8122@nittany.edu,EE212,2,1,80
md5914@nittany.edu,CMPSC131,2,1,74
kf8268@nittany.edu,ECON201,2,1,87
pz6665@nittany.edu,ECON201,2,1,78
mr6639@nittany.edu,MATH141,1,1,91
sc5452@nittany.edu,CMPEN362,1,1,63
tp8468@nittany.edu,MATH141,1,1,63
ih9335@nittany.edu,CMPEN362,1,1,83
me9525@nittany.edu,CMPSC360,2,1,72
pr4075@nittany.edu,MATH141,1,1,62
nk8056@nittany.edu,CHEM110,2,1,62
jz5577@nittany.edu,CMPSC131,2,1,65
lk7361@nittany.edu,CMPSC431W,2,1,89
ms2404@nittany.edu,CMPSC221,1,1,86
ih5431@nittany.edu,MATH141,1,1,86
sm4115@nittany.edu,DS120,2,1,71
js8078@nittany.edu,CHEM112,2,1,76
mb4117@nittany.edu,IST128,2,1,79
mg1976@nittany.edu,MATH231,1,1,87
jh2885@nittany.edu,CMPSC475,1,1,99
ms9362@nittany.edu,CMPEN351,2,1,71
jl6447@nittany.edu,CMPEN411,2,1,94
mr2329@nittany.edu,CHEM111,1,1,78
ma5503@nittany.edu,CMPEN431,1,1,83
rb4971@nittany.edu,EE330,2,1,61
kg2618@nittany.edu,CMPSC221,1,1,93
lg4120@nittany.edu,STAT319,1,1,70
sg2123@nittany.edu,PHYS214,2,1,81
tp3946@nittany.edu,EE353,2,1,94
sb5076@nittany.edu,EE212,2,1,91
mh2221@nittany.edu,EE320,2,1,82
vs8351@nittany.edu,EE212,1,1,66
mm1324@nittany.edu,ECON102,1,1,64
tg2289@nittany.edu,CMPSC448,1,1,85
mk4648@nittany.edu,CMPEN270,2,1,64
sa8884@nittany.edu,CHEM112,1,1,66
kn1468@nittany.edu,STAT319,1,1,85
jk5833@nittany.edu,CMPEN411,1,1,82
md1699@nittany.edu,EE211,2,1,70
mc4814@nittany.edu,MATH231,1,1,89
ll2646@nittany.edu,DS220,2,1,61
mr3369@nittany.edu,CHEM112,1,1,67
tb7100@nittany.edu,DS220,1,1,91
wm3293@nittany.edu,CMPSC132,1,1,94
ko8881@nittany.edu,EE311,1,1,94
zj6533@nittany.edu,ECON201,2,1,89
mb4756@nittany.edu,CMPSC132,2,1,87
mr3556@nittany.edu,MATH141,1,1,99
md3813@nittany.edu,PHYS214,2,1,96
km6173@nittany.edu,EE211,2,1,79
sg3060@nittany.edu,EE210,2,1,75
ms7605@nittany.edu,ECON201,1,1,88
tm4946@nittany.edu,STAT318,2,1,66
jg1721@nittany.edu,CMPSC311,1,1,64
yc2897@nittany.edu,CSE583,1,1,99
ss9714@nittany.edu,CMPSC131,2,1,63
rb9779@nittany.edu,MATH231,1,1,89
zr6768@nittany.edu,MATH140,2,1,67
rc6428@nittany.edu,PHYS213,2,1,100
jt5287@nittany.edu,CHEM111,1,1,77
lo7605@nittany.edu,DS120,2,1,87
lr3728@nittany.edu,ECON101,2,1,71
me5010@nittany.edu,CHEM112,1,1,87
lr5472@nittany.edu,PHYS213,2,1,63
sh4974@nittany.edu,CMPSC311,2,1,63
la9924@nittany.edu,IST128,2,1,63
ms2737@nittany.edu,ECON102,2,1,88
tb8127@nittany.edu,CMPSC132,1,1,93
mm2976@nittany.edu,EE330,1,1,73
th3170@nittany.edu,EE352,1,1,77
kk3742@nittany.edu,CHEM112,2,1,84
nd2615@nittany.edu,CMPSC311,1,1,65
sb6428@nittany.edu,CMPEN351,2,1,90
rr9237@nittany.edu,CMPEN270,2,1,61
mm1660@nittany.edu,ECON201,2,1,85
mr1462@nittany.edu,DS220,1,1,99
lg1828@nittany.edu,IST110,2,1,99
jo7172@nittany.edu,CMPSC461,1,1,66
ma5045@nittany.edu,ECON101,1,1,90
mc4696@nittany.edu,STAT318,2,1,86
rs3973@nittany.edu,CMPEN270,2,1,100
my7428@nittany.edu,CMPSC311,2,1,98
mv4275@nittany.edu,CMPEN411,1,1,86
vw5806@nittany.edu,STAT319,2,1,86
nr4230@nittany.edu,CMPEN351,2,1,67
ma3543@nittany.edu,CMPSC360,1,1,85
lg2530@nittany.edu,CMPEN362,1,1,81
sh4671@nittany.edu,EE211,1,1,63
mt7030@nittany.edu,CHEM112,2,1,63
lt3713@nittany.edu,EE212,1,1,90
jw3861@nittany.edu,CMPEN362,1,1,83
kr4923@nittany.edu,PHYS211,1,1,63
nf6339@nittany.edu,CHEM110,2,1,78
md6319@nittany.edu,CMPSC448,2,1,86
mb1688@nittany.edu,EE353,2,1,94
mk5190@nittany.edu,DS120,2,1,79
mk3204@nittany.edu,ECON201,1,1,97
oc3904@nittany.edu,CMPEN331,2,1,75
js6308@nittany.edu,CMPEN362,1,1,78
jw4897@nittany.edu,CHEM110,1,1,95
vl7715@nittany.edu,CMPSC221,2,1,86
ph3861@nittany.edu,MATH230,2,1,83
md2194@nittany.edu,CMPEN431,1,1,92
jh3919@nittany.edu,CMPEN362,2,1,63
mw5114@nittany.edu,IST128,2,1,72
ld6778@nittany.edu,DS120,2,1,60
mc1411@nittany.edu,PHYS211,2,1,63
lg7099@nittany.edu,CSE583,1,1,69
mm9659@nittany.edu,DS220,2,1,70
rc5324@nittany.edu,EE211,1,1,89
mz7312@nittany.edu,CMPSC311,2,1,75
nh2508@nittany.edu,EE211,2,1,82
ms2255@nittany.edu,IST110,2,1,63
mp4954@nittany.edu,EE211,1,1,93
lj7790@nittany.edu,MATH141,1,1,66
sr7729@nittany.edu,STAT319,2,1,64
ld6540@nittany.edu,CHEM110,2,1,73
sv5358@nittany.edu,CSE583,1,1,61
kf8921@nittany.edu,ECON101,2,1,81
rh4718@nittany.edu,DS120,2,1,79
vt8578@nittany.edu,MATH141,1,1,84
lu6872@nittany.edu,DS220,2,1,86
lb6520@nittany.edu,ECON102,1,1,74
kb6941@nittany.edu,CMPEN411,1,1,77
rv5469@nittany.edu,STAT319,2,1,77
ml7975@nittany.edu,DS120,2,1,63
mj4880@nittany.edu,ECON201,2,1,79
jf9661@nittany.edu,CHEM111,2,1,73
lt8366@nittany.edu,EE352,2,1,97
js7099@nittany.edu,ECON102,1,1,71
rf2661@nittany.edu,EE211,2,1,97
js8165@nittany.edu,DS120,2,1,70
kk3115@nittany.edu,CMPEN441,1,1,61
mr4635@nittany.edu,DS220,1,1,70
ve8889@nittany.edu,EE352,2,1,88
ml3983@nittany.edu,EE353,1,1,73
ld8065@nittany.edu,CHEM110,1,1,95
jk4403@nittany.edu,EE353,2,1,97
in2805@nittany.edu,IST110,1,1,68
pb8346@nittany.edu,MATH231,1,1,67
mn6721@nittany.edu,CSE583,2,1,92
sm6043@nittany.edu,DS220,1,1,79
lj2224@nittany.edu,IST128,2,1,75
wr3515@nittany.edu,CSE583,2,1,81
wl5243@nittany.edu,CMPSC431W,2,1,69
ns1210@nittany.edu,ECON101,2,1,70
ms6173@nittany.edu,CMPEN351,2,1,99
na8379@nittany.edu,CMPEN362,1,1,74
ls6337@nittany.edu,MATH140,1,1,78
sm9645@nittany.edu,PHYS213,2,1,65
rr8243@nittany.edu,CMPEN270,2,1,93
lw4369@nittany.edu,CMPEN411,2,1,100
il3541@nittany.edu,CMPEN351,1,1,99
mg8505@nittany.edu,CHEM111,1,1,67
mo1186@nittany.edu,CMPEN351,1,1,66
pw1726@nittany.edu,MATH141,1,1,65
lm6031@nittany.edu,EE212,2,1,79
