name,email,age,zipcode,gender,password,street,major
Jodie Brekke Sr.,jb9557@nittany.edu,21,96103,M,rhw24sr5,8985 Cambridge Ave. ,CHEM
Kristopher O'Connell,ko8881@nittany.edu,21,30341,F,88zlsj5j,7764 Union Avenue ,CMPSC
Zackary Johnson,zj6533@nittany.edu,18,94107,F,t2ujdmui,7297 Applegate St. ,ECON
Max Bashirian,mb4756@nittany.edu,18,32754,F,obmm3eek,608 North Addison St. ,ECON
Marietta Runolfsson,mr3556@nittany.edu,21,33778,F,xkuhje6t,708 York Dr. ,CMPSC
Ms. Devante Frami,md3813@nittany.edu,21,93004,F,kr7ql6nc,7195 North Canterbury Circle ,CHEM
Kali Mills,km6173@nittany.edu,19,51031,M,re55bd6w,185 E. Trenton Street ,MATH
Shaun Glover,sg3060@nittany.edu,22,61742,F,lfd2z2k3,182 Spring Street ,IST
Mariana Stokes,ms7605@nittany.edu,19,32780,M,t2xd9avn,266 Second Street ,MATH
Tommie Mosciski,tm4946@nittany.edu,22,30473,F,7i18zf4n,9408 Anderson Court ,CMPSC
Jailyn Green,jg1721@nittany.edu,22,30410,M,xms08kb4,7195 North Canterbury Circle ,CHEM
Yessenia Crona,yc2897@nittany.edu,21,52737,M,wagux3h8,120 Heritage Lane ,CMPSC
Serena Stiedemann,ss9714@nittany.edu,22,52555,F,8z5pnlui,8378 West Pulaski Ave. ,EE
Ressie Boyer,rb9779@nittany.edu,21,31701,M,2xpz77r8,9659 Rosewood Drive ,CMPEN
Zackery Reynolds,zr6768@nittany.edu,20,51005,F,cqu4oqqk,185 E. Trenton Street ,CHEM
Robb Christiansen,rc6428@nittany.edu,22,60551,M,tqdgdwnl,798 North Euclid Drive ,EE
Joaquin Turner,jt5287@nittany.edu,21,95388,M,pjjaks2g,7313 Stillwater Lane ,DS
Lucy Oberbrunner,lo7605@nittany.edu,21,80229,M,bn47qlis,4 Old Academy Drive ,CHEM
Trudie Runte,tr4637@nittany.edu,18,61570,F,h6czyxwt,361 E. Sierra Street ,EE
Lambert Russel,lr3728@nittany.edu,22,80433,F,a62i6pl3,453 North Elm Dr. ,MATH
Xavier Greenfelder V,xg4863@nittany.edu,20,90240,M,sxbpeq1n,6 Andover Dr. ,CHEM
Mr. Elta Hammes,me5010@nittany.edu,18,62571,F,lscmydj9,9498 Newport Ave. ,IST
Lucas Reinger,lr5472@nittany.edu,19,30728,F,9itfmlss,251 West Sheffield Drive ,PHYS
Shyanne Heller,sh4974@nittany.edu,22,50864,F,468vx2eo,91 S. Gartner Street ,CMPSC
Lorena Anderson,la9924@nittany.edu,21,60423,M,pyu1l9vk,3 North Linden Ave. ,PHYS
Marlene Schulist,ms2737@nittany.edu,22,46590,F,pw8rw005,4 Old Academy Drive ,ECON
Tobin Balistreri,tb8127@nittany.edu,22,33169,F,hluyeul5,3 North Linden Ave. ,STAT
Maudie Murphy,mm2976@nittany.edu,18,62049,F,6be7cy6j,7130 Longfellow Dr. ,ECON
Toy Hayes,th3170@nittany.edu,18,46310,M,vcqhvrf4,9498 Newport Ave. ,DS
Khalil Kovacek,kk3742@nittany.edu,18,52208,F,pzivzcis,7529 Old Sunset Road ,CHEM
Noble Dooley,nd2615@nittany.edu,19,94957,M,x66pet3n,9659 Rosewood Drive ,CSE
Sammy Braun,sb6428@nittany.edu,21,33136,M,21appxs5,91 S. Gartner Street ,STAT
Rubie Runolfsson,rr9237@nittany.edu,20,30545,M,pg6loq0c,8687 N. Sleepy Hollow Court ,MATH
Mr. Mable Prosacco,mm1660@nittany.edu,18,61242,M,ho1589h3,63 Lake Forest Road ,DS
Mrs. Reba Heller,mr1462@nittany.edu,18,81242,F,7wkpb4f4,18 Lakeview Street ,PHYS
Louisa Gislason,lg1828@nittany.edu,19,96761,M,bnq1qmcv,7764 Union Avenue ,CHEM
Jalen Orn,jo7172@nittany.edu,19,95547,M,1ycbd4va,7313 Stillwater Lane ,CSE
Miss Ardith Jerde,ma5045@nittany.edu,19,91343,F,fba3ls3l,708 York Dr. ,CMPSC
Marianna Cummings,mc4696@nittany.edu,21,47983,M,65t6knui,120 Heritage Lane ,PHYS
Ryan Schuster,rs3973@nittany.edu,18,32024,M,fcksdooc,8131 Elizabeth Ave. ,CSE
Mr. Yvette Gislason,my7428@nittany.edu,22,72432,M,p5xjrgpy,8687 N. Sleepy Hollow Court ,IST
Mohammed Von,mv4275@nittany.edu,22,30467,F,hxmroy2c,3 North Linden Ave. ,DS
Vivien Will,vw5806@nittany.edu,21,62087,F,wi14inop,780 East Redwood Drive ,CMPEN
Nadia Renner,nr4230@nittany.edu,19,94512,F,o0u7wza2,6 Andover Dr. ,ECON
Mrs. Albertha Kautzer,ma3543@nittany.edu,21,81410,F,0we09v6f,780 East Redwood Drive ,PHYS
Mossie Considine,mc9149@nittany.edu,20,50238,F,1kwxyx73,8985 Cambridge Ave. ,IST
Lavina Goodwin,lg2530@nittany.edu,20,33062,F,28g2dueo,232 W. Homewood Ave. ,EE
Stefanie Haley,sh4671@nittany.edu,19,91915,F,5qe7bghc,120 Heritage Lane ,DS
Markus Turcotte DDS,mt7030@nittany.edu,18,31771,M,s0t63ppx,798 North Euclid Drive ,CHEM
Loyce Torphy,lt3713@nittany.edu,21,93449,M,jajxpr7a,336 Myrtle Street ,IST
Jeremie Watsica,jw3861@nittany.edu,22,93240,M,5x3nzy2o,63 Lake Forest Road ,IST
Kenyon Rohan,kr4923@nittany.edu,19,30557,M,w8igr7b2,863 Stillwater Road ,STAT
Napoleon Fay,nf6339@nittany.edu,18,62666,F,kh25zijo,453 North Elm Dr. ,CSE
Melvin D'Amore,md6319@nittany.edu,22,94070,M,ryu3o2mq,7195 North Canterbury Circle ,DS
Miss Brain Altenwerth,mb1688@nittany.edu,22,47340,M,n2dfub1z,3 North Linden Ave. ,CSE
Marcel Kihn,mk5190@nittany.edu,18,6262,F,vdpmots3,78 South Brewery Ave. ,STAT
Ms. Katlynn Mills,mk3204@nittany.edu,22,92887,M,fxkpjvr8,259 Cleveland Road ,CSE
Olin Connelly,oc3904@nittany.edu,20,93631,F,x4wzwl35,863 Stillwater Road ,DS
Kevin Mante,km6627@nittany.edu,20,86433,M,brhbtpp6,336 Myrtle Street ,PHYS
Jerrold Schiller,js6308@nittany.edu,18,93930,M,c3ixaudm,8378 West Pulaski Ave. ,IST
Juanita Wilderman,jw4897@nittany.edu,20,50208,F,95kymlws,9236 El Dorado St. ,CHEM
Vernice Langworth,vl7715@nittany.edu,18,47584,F,jxdqxajo,9659 Rosewood Drive ,CSE
Pink Haag,ph3861@nittany.edu,19,81615,M,704ilqhr,358 Marvon Ave. ,STAT
Miss Daren Kessler,md2194@nittany.edu,19,61740,M,mij0lo81,8131 Elizabeth Ave. ,CSE
Junior Heathcote,jh3919@nittany.edu,19,72118,M,2fi47lk3,285 Dogwood Drive ,EE
Mohammed White,mw5114@nittany.edu,19,72520,F,ylozvj4o,182 Spring Street ,EE
Lionel Daniel,ld6778@nittany.edu,20,81623,F,fpqano7u,141 Gulf Rd. ,DS
Mr. Catharine Johns,mc1411@nittany.edu,20,96113,F,vvni2kh3,18 Lakeview Street ,CMPEN
Lucile Gislason,lg7099@nittany.edu,20,85085,M,bc4le940,182 Spring Street ,STAT
Ms. Malinda Greenfelder,mm9659@nittany.edu,19,6384,F,13kvwsjo,232 W. Homewood Ave. ,ECON
Reyes Cormier,rc5324@nittany.edu,21,50153,M,gbqtku3c,7 Arch Court ,IST
Miss Zechariah Kulas,mz7312@nittany.edu,20,32925,F,ro0wghzu,6 Andover Dr. ,PHYS
Mrs. Leonard Bosco,ml5786@nittany.edu,22,6370,F,c03gkbjx,55 Hall St. ,EE
Nina Hilll,nh2508@nittany.edu,21,92624,M,lo21i5t7,8687 N. Sleepy Hollow Court ,CHEM
Maritza Schaefer,ms2255@nittany.edu,21,92024,M,fjh8si60,119 Harvey Street ,ECON
Marlin Pfannerstill,mp4954@nittany.edu,19,31007,M,93lugexr,78 South Brewery Ave. ,EE
Lulu Jakubowski,lj7790@nittany.edu,19,94965,M,f0kf14lp,9498 Newport Ave. ,CMPSC
Skye Robel Jr.,sr7729@nittany.edu,20,80005,F,kb3tlio2,18 Lakeview Street ,CHEM
Mr. Tiana Glover,mt8800@nittany.edu,19,34470,M,pqq8z7sr,88 Harrison Street ,CSE
Leonor Davis,ld6540@nittany.edu,21,62610,F,n7qps904,639 Princeton Rd. ,EE
Sterling Volkman Sr.,sv5358@nittany.edu,20,50420,F,72khyt24,655 East Branch Dr. ,PHYS
Kylie Fay,kf8921@nittany.edu,19,94547,M,5wy4bon0,285 Dogwood Drive ,CMPSC
Robb Hegmann,rh4718@nittany.edu,18,46181,F,meon7rzi,608 North Addison St. ,PHYS
Victoria Toy II,vt8578@nittany.edu,18,6026,M,sls2audw,860 Wakehurst Dr. ,STAT
Lysanne Ullrich,lu6872@nittany.edu,19,90017,M,ptc0b1y3,358 Marvon Ave. ,EE
Loma Becker PhD,lb6520@nittany.edu,22,62530,M,95zc0rwz,285 Dogwood Drive ,STAT
Karson Bashirian MD,kb6941@nittany.edu,22,60043,M,zuqm5kpu,7529 Old Sunset Road ,CSE
Rose Veum,rv5469@nittany.edu,19,30215,M,xwdu18y9,308 Mammoth Dr. ,CSE
Miss Lora Will,ml7975@nittany.edu,22,33936,F,oamszhnw,185 E. Trenton Street ,CMPSC
Mrs. Joanny Legros,mj4880@nittany.edu,22,52216,M,5ocovp3j,26 Johnson St. ,CMPSC
Josefina Frami,jf9661@nittany.edu,19,72176,F,f9se8wwm,8985 Cambridge Ave. ,EE
Luisa Turcotte,lt8366@nittany.edu,19,83815,F,fws0qxaz,7450 West Manchester Street ,STAT
Jace Swift,js7099@nittany.edu,19,47959,M,kyknbv85,285 Dogwood Drive ,MATH
Rae Feil,rf2661@nittany.edu,22,60474,M,1dig79sf,285 Dogwood Drive ,IST
Joanny Stracke,js8165@nittany.edu,20,30701,F,nq4112q9,608 North Addison St. ,EE
Kailyn Kassulke V,kk3115@nittany.edu,20,50634,M,sgdlqet1,9498 Newport Ave. ,CMPSC
Ms. Raoul Lang,mr4635@nittany.edu,22,80631,F,k6uyidbm,88 Harrison Street ,CMPSC
Vella Ernser,ve8889@nittany.edu,19,6785,F,mk737jwg,798 North Euclid Drive ,CMPEN
Ms. Lori Luettgen,ml3983@nittany.edu,22,47940,F,u9x7dz70,91 S. Gartner Street ,CMPEN
Lucienne Dicki MD,ld8065@nittany.edu,21,72513,F,609akvrd,963 Court Road ,ECON
Jared Kunde,jk4403@nittany.edu,18,46760,M,94qak42y,88 Harrison Street ,STAT
Isabel Nader,in2805@nittany.edu,21,52341,M,41gfy1ej,6 Andover Dr. ,IST
Patsy Beer,pb8346@nittany.edu,20,31623,M,skf5ui3q,266 Second Street ,PHYS
Rosendo Friesen,rf1782@nittany.edu,20,32024,F,dok8nl9x,9236 El Dorado St. ,CSE
Miss Nikki Kassulke,mn6721@nittany.edu,22,30275,M,1vfo45w7,8131 Elizabeth Ave. ,PHYS
Savannah Maggio,sm6043@nittany.edu,20,34491,M,49xkwq6n,120 Heritage Lane ,CMPEN
Lucinda Jakubowski,lj2224@nittany.edu,21,33763,M,f2hkrocp,185 E. Trenton Street ,EE
Wilfred Runolfsson,wr3515@nittany.edu,20,60653,F,f2ey91az,639 Princeton Rd. ,EE
Wilma Legros,wl5243@nittany.edu,20,61377,F,ij8sdkw9,63 Lake Forest Road ,CSE
Julie Rice,jr8665@nittany.edu,19,94041,M,xmiiavzz,336 Myrtle Street ,CMPEN
Nettie Schowalter,ns1210@nittany.edu,21,30034,M,4wks1yn1,182 Spring Street ,ECON
Mr. Shanny Haag,ms6173@nittany.edu,18,31630,M,66krk2ow,9420 Tallwood Street ,ECON
Newton Ankunding,na8379@nittany.edu,18,72126,F,8tayuxnr,495 Jockey Hollow Ave. ,DS
Loyal Schamberger,ls6337@nittany.edu,21,46148,F,hrj3gm5t,63 Lake Forest Road ,EE
Simone Mayert,sm9645@nittany.edu,18,95709,M,06f3jir4,8687 N. Sleepy Hollow Court ,STAT
Roger Roob,rr8243@nittany.edu,18,19936,F,euho4xy8,798 North Euclid Drive ,PHYS
Logan Wolf,lw4369@nittany.edu,20,81024,M,l2c6cn16,798 North Euclid Drive ,IST
Isaiah Lakin,il3541@nittany.edu,19,52254,F,01idi3cu,120 Heritage Lane ,EE
Miss Giovani Fisher,mg8505@nittany.edu,21,66058,M,kz3zir6z,259 Cleveland Road ,CMPSC
Muriel Orn Jr.,mo1186@nittany.edu,19,33001,F,ginqor0y,91 S. Gartner Street ,MATH
Pinkie Wilkinson,pw1726@nittany.edu,21,32708,F,to134xcj,119 Harvey Street ,STAT
Lenny Mante,lm6031@nittany.edu,22,6883,F,lmddz47s,7 Arch Court ,ECON
Mr. Jaylin Kautzer,mj6359@nittany.edu,21,30104,M,zlergoka,91 S. Gartner Street ,IST
Pearlie Connelly,pc8832@nittany.edu,22,61919,M,g6gquwns,358 Marvon Ave. ,PHYS
Michaela Frami,mf8214@nittany.edu,18,83283,F,byrmhkrc,8687 N. Sleepy Hollow Court ,IST
Johnny Breitenberg I,jb5052@nittany.edu,18,47841,F,79r2lk38,88 Harrison Street ,CMPSC
Ms. Adah Bode,ma8938@nittany.edu,18,83622,M,v8a0upa6,7313 Stillwater Lane ,CSE
Lysanne Frami,lf4727@nittany.edu,19,31567,M,r5ewbudh,798 North Euclid Drive ,PHYS
Jonathon Huel,jh1874@nittany.edu,22,30720,M,8d3tdd6n,9659 Rosewood Drive ,EE
Reva Bayer,rb6281@nittany.edu,18,80453,F,6j8qtf9g,655 East Branch Dr. ,CSE
Ms. Raina Schmidt,mr5864@nittany.edu,22,93455,F,9tc1sf4b,655 East Branch Dr. ,CSE
Marco Larson,ml6213@nittany.edu,20,93207,M,kv6p91kt,608 North Addison St. ,PHYS
Mr. Kelton Kertzmann,mk7773@nittany.edu,21,62035,F,bisj7cvm,9659 Rosewood Drive ,PHYS
Nicolas Cummerata,nc8172@nittany.edu,19,80457,F,b09izvbz,6 Andover Dr. ,STAT
Mrs. Joannie Dibbert,mj5914@nittany.edu,21,60503,F,n4v8hqyq,7450 West Manchester Street ,IST
Mallie Eichmann,me2148@nittany.edu,20,81248,M,qmpyhkgz,4 Old Academy Drive ,STAT
Mr. Keyshawn Cassin,mk8847@nittany.edu,18,80720,M,4zfuvuep,141 Gulf Rd. ,PHYS
Miss Yolanda Pfannerstill,my3786@nittany.edu,22,52588,M,ixfwzeh2,182 Spring Street ,CMPEN
Jensen McDermott,jm3669@nittany.edu,18,61323,M,fhsc0rqw,7195 North Canterbury Circle ,EE
Ursula Fadel,uf7067@nittany.edu,22,83316,F,yohr8drf,185 E. Trenton Street ,MATH
Madeline Renner,mr2575@nittany.edu,20,62065,M,dud61mbj,860 Wakehurst Dr. ,DS
Mac Bailey,mb3709@nittany.edu,18,80721,F,yqz5bgrm,232 W. Homewood Ave. ,CHEM
Jakob Kuvalis,jk4409@nittany.edu,18,62053,F,dngxq5hi,266 Second Street ,IST
Yadira Schinner,ys9174@nittany.edu,18,52052,M,n5bplqw8,88 Harrison Street ,CSE
Roxanne Fritsch,rf1538@nittany.edu,22,95699,M,3phvh9ch,18 Lakeview Street ,CMPSC
Nicolas O'Reilly,no6118@nittany.edu,19,95682,M,yko7qfpk,7529 Old Sunset Road ,CSE
Lisette Connelly,lc4994@nittany.edu,19,80836,F,zl5y07yb,63 Lake Forest Road ,IST
Orrin Herman IV,oh8195@nittany.edu,22,32509,M,xa4qupgs,9420 Tallwood Street ,ECON
Jewel Cole,jc2471@nittany.edu,22,50857,F,smelkveu,7195 North Canterbury Circle ,IST
Mariam Mills,mm3162@nittany.edu,19,81067,F,qfnrr7q6,461 Heather Street ,CMPEN
Jasen Hand,jh7997@nittany.edu,19,96818,M,e44gixtz,963 Court Road ,DS
Irwin Kreiger,ik6824@nittany.edu,20,91950,M,wd6c5b8t,7297 Applegate St. ,DS
Thurman Kessler,tk5748@nittany.edu,21,60515,F,lcxh50pn,963 Court Road ,DS
Tobin Schinner PhD,ts1830@nittany.edu,21,94305,M,ilnv4fc7,7764 Union Avenue ,EE
Karen Ritchie,kr6619@nittany.edu,20,85615,M,nejwj0g9,78 South Brewery Ave. ,DS
Robert Krajcik,rk2653@nittany.edu,19,47558,F,fbcoyeuk,708 York Dr. ,PHYS
Sophia Graham,sg4622@nittany.edu,21,62841,M,jau0vvp1,232 W. Homewood Ave. ,CMPEN
Judson Lubowitz,jl3236@nittany.edu,21,6762,F,ekgc03iz,461 Heather Street ,DS
Kelly Harber,kh1826@nittany.edu,19,50560,F,r6lql7ka,78 South Brewery Ave. ,IST
Mr. Elliott Gibson,me2596@nittany.edu,18,94933,F,du07mr15,8687 N. Sleepy Hollow Court ,DS
Johnnie Little,jl9851@nittany.edu,19,47385,M,avrak6tf,358 Marvon Ave. ,IST
Stephany Weissnat,sw7724@nittany.edu,18,51007,F,genhnfwu,7130 Longfellow Dr. ,PHYS
Kiley Howe,kh5883@nittany.edu,20,50120,M,297q8crc,963 Court Road ,CMPSC
Mariana Nicolas Jr.,mn2842@nittany.edu,19,32951,F,mvoktbee,78 South Brewery Ave. ,CHEM
Mr. Therese Sauer,mt7911@nittany.edu,18,30206,M,u61545ij,780 East Redwood Drive ,STAT
Pedro Fadel,pf6936@nittany.edu,20,93925,F,voqefyok,8687 N. Sleepy Hollow Court ,CMPEN
Mafalda Cremin,mc8336@nittany.edu,19,83627,M,e59cih6r,639 Princeton Rd. ,EE
Mrs. Vesta Aufderhar,mv1311@nittany.edu,21,50027,F,fw1vmu6d,8401 Green Rd. ,CHEM
Kari Kunze,kk2666@nittany.edu,22,52550,M,59hg8iiw,63 Lake Forest Road ,CMPSC
Otis Kirlin,ok7520@nittany.edu,20,86545,M,sv6m90rj,608 North Addison St. ,ECON
Miss Tianna Beatty,mt3151@nittany.edu,21,52751,F,nruazyy2,285 Dogwood Drive ,DS
Laurel Bogan,lb8326@nittany.edu,21,94938,F,0384qogi,9408 Anderson Court ,CHEM
Lane Hilpert,lh1031@nittany.edu,20,93553,M,9wsxm9n2,6 Andover Dr. ,STAT
Mertie Nicolas,mn1239@nittany.edu,22,32656,F,2s38fy1y,655 East Branch Dr. ,CHEM
Karley Abbott Sr.,ka1472@nittany.edu,20,31016,F,2vicyb49,232 W. Homewood Ave. ,ECON
Tremaine Turcotte III,tt1799@nittany.edu,21,72103,M,v08qy7ak,7450 West Manchester Street ,CMPSC
Maci Runolfsson,mr5565@nittany.edu,21,81501,F,atpig6cx,461 Heather Street ,IST
Miss Aurore Jacobi,ma6036@nittany.edu,18,93242,M,ohnzfbua,461 Heather Street ,IST
Ms. Reuben Donnelly,mr9406@nittany.edu,19,46118,M,0ofwccee,361 E. Sierra Street ,CHEM
Oren Simonis MD,os4077@nittany.edu,19,80924,F,rbm7nj0l,18 Lakeview Street ,CSE
Miss Isabell Corwin,mi6642@nittany.edu,18,32204,F,l6qnsfh8,780 East Redwood Drive ,MATH
